Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI,Daily meals frequency,Physical exercise,Carbs,Proteins,Fats,Calories,meal_name,meal_type,diet_type,sugar_g,sodium_mg,cholesterol_mg,serving_size_g,cooking_method,prep_time_min,cook_time_min,rating,is_healthy,Name of Exercise,Sets,Reps,Benefit,Burns Calories (per 30 min),Target Muscle Group,Equipment Needed,Difficulty Level,Body Part,Type of Muscle,Workout
41.0,Female,63.4,1.59,162.0,153.0,55.0,1.84,1267.0,HIIT,15.2,2.7,5.0,3.0,25.08,2.0,0.0,196.538,78.615,52.41,1572.302,Watch Salad,Breakfast,Balanced,39.5,2039,175,270,Boiled,11,52,3.6,0,Push Ups,4.0,13.0,Burns fat quickly,251.68,Chest,Pull-up Bar,Intermediate,Full Body,Triceps,Pull Ups
22.0,Female,71.6,1.77,197.0,158.0,56.0,1.49,1177.0,Yoga,30.3,1.8,3.0,1.0,22.85,2.0,0.0,244.312,97.725,65.15,1954.498,Drop Stew,Dinner,Low-Carb,7.1,808,245,204,Steamed,11,45,1.2,0,Plank,3.0,18.0,Burns fat quickly,240.32,Chest,Pull-up Bar,Intermediate,Full Body,Triceps,Pull Ups
51.0,Female,57.4,1.77,177.0,123.0,72.0,1.08,598.0,Yoga,31.6,2.1,4.0,2.0,18.32,2.0,1.0,333.008,133.203,88.802,2664.062,Writer Rice,Snack,Balanced,39.0,892,273,245,Steamed,58,113,2.0,0,Burpees,4.0,15.0,Burns fat quickly,230.48,Chest,Pull-up Bar,Intermediate,Full Body,Triceps,Pull Ups
23.0,Male,83.8,1.99,179.0,130.0,71.0,1.79,1280.0,Cardio,11.0,3.5,4.0,3.0,21.16,3.0,0.0,176.1,70.44,46.96,1408.8,Majority Wrap,Breakfast,Balanced,7.9,2205,224,208,Roasted,10,73,3.6,0,Squats,4.0,13.0,Burns fat quickly,254.76,Chest,Pull-up Bar,Intermediate,Full Body,Triceps,Pull Ups
39.0,Female,55.9,1.71,184.0,148.0,59.0,1.95,1443.0,Yoga,19.5,2.7,5.0,3.0,19.12,3.0,0.0,204.188,81.675,54.45,1633.502,Whole Stew,Dinner,Vegan,7.4,1235,184,437,Roasted,7,112,1.8,0,Mountain Climbers,4.0,12.0,Burns fat quickly,230.18,Chest,Pull-up Bar,Intermediate,Full Body,Triceps,Pull Ups
28.0,Male,87.0,1.76,197.0,121.0,60.0,1.2,799.0,Yoga,28.4,3.5,3.0,2.0,28.09,3.0,2.0,274.205,109.682,73.121,2193.637,Help Salad,Dinner,Paleo,10.7,664,52,402,Roasted,11,93,2.8,0,Leg Press,4.0,15.0,Burns fat quickly,259.4,Chest,Pull-up Bar,Intermediate,Full Body,Triceps,Pull Ups
33.0,Female,65.3,1.71,172.0,135.0,74.0,1.18,796.0,HIIT,29.7,2.5,4.0,2.0,22.33,3.0,0.0,198.562,79.425,52.95,1588.498,Amount Stew,Snack,Vegetarian,7.2,779,297,379,Grilled,38,59,4.0,0,Lunges,4.0,20.0,Burns fat quickly,236.06,Chest,Pull-up Bar,Intermediate,Full Body,Triceps,Pull Ups
50.0,Male,45.4,1.67,163.0,158.0,62.0,1.37,1071.0,Yoga,24.1,2.8,4.0,2.0,16.28,3.0,0.0,243.0,97.2,64.8,1944.0,In Salad,Dinner,Vegetarian,14.6,1803,79,246,Fried,23,62,2.0,1,Deadlift,3.0,13.0,Burns fat quickly,227.08,Chest,Pull-up Bar,Intermediate,Full Body,Triceps,Pull Ups
26.0,Male,87.1,1.87,173.0,132.0,58.0,1.71,1241.0,Yoga,11.2,3.5,4.0,3.0,24.91,2.0,3.0,315.675,126.27,84.18,2525.4,Police Wrap,Lunch,Keto,47.1,1744,78,427,Fried,18,13,3.4,0,Deadlift,4.0,19.0,Burns fat quickly,267.42,Chest,Pull-up Bar,Intermediate,Full Body,Triceps,Pull Ups
23.0,Female,78.6,1.73,192.0,156.0,56.0,1.47,1147.0,HIIT,32.3,1.5,4.0,2.0,26.26,3.0,0.0,226.538,90.615,60.41,1812.302,Bill Stew,Dinner,Keto,12.1,1803,288,330,Boiled,32,7,4.5,0,Plank,3.0,18.0,Burns fat quickly,266.72,Chest,Pull-up Bar,Intermediate,Full Body,Triceps,Pull Ups
33.0,Female,78.0,1.71,187.0,136.0,58.0,1.08,734.0,Cardio,26.3,2.1,3.0,1.0,26.67,2.0,2.0,349.234,139.694,93.129,2793.873,Discussion Pasta,Dinner,Paleo,16.1,1581,81,236,Steamed,53,85,1.2,0,Bench Press,3.0,14.0,Burns fat quickly,235.6,Chest,Pull-up Bar,Intermediate,Full Body,Triceps,Pull Ups
46.0,Female,58.0,1.53,196.0,140.0,62.0,1.83,1153.0,Cardio,18.4,2.7,4.0,3.0,24.78,2.0,0.0,195.562,78.225,52.15,1564.498,Per Curry,Lunch,Low-Carb,18.8,1866,293,188,Grilled,59,53,3.8,0,Bench Press,4.0,18.0,Burns fat quickly,233.6,Chest,Pull-up Bar,Intermediate,Full Body,Triceps,Pull Ups
20.0,Female,71.3,1.69,167.0,163.0,52.0,1.28,1043.0,Strength,33.4,2.3,3.0,2.0,24.96,2.0,0.0,272.287,108.915,72.61,2178.298,Size Sandwich,Snack,Vegetarian,41.4,568,104,381,Roasted,27,119,3.7,0,Push Ups,3.0,13.0,Burns fat quickly,259.26,Chest,Pull-up Bar,Intermediate,Full Body,Triceps,Pull Ups
37.0,Male,49.1,1.74,193.0,138.0,52.0,1.11,842.0,Yoga,22.3,2.6,3.0,2.0,16.22,2.0,0.0,295.688,118.275,78.85,2365.502,Begin Curry,Lunch,Keto,0.1,1441,145,172,Steamed,19,86,4.0,1,Burpees,3.0,13.0,Burns fat quickly,251.82,Chest,Pull-up Bar,Intermediate,Full Body,Triceps,Pull Ups
53.0,Female,78.3,1.65,164.0,126.0,50.0,1.24,703.0,HIIT,33.7,1.6,3.0,1.0,28.76,3.0,2.0,319.203,127.681,85.121,2553.625,Themselves Rice,Dinner,Balanced,34.0,638,241,219,Steamed,15,49,3.5,0,Squats,3.0,14.0,Burns fat quickly,258.66,Chest,Pull-up Bar,Intermediate,Full Body,Triceps,Pull Ups
36.0,Female,57.3,1.64,164.0,157.0,70.0,1.13,887.0,Strength,25.3,1.8,4.0,2.0,21.3,4.0,0.0,214.538,85.815,57.21,1716.302,Pattern Soup,Lunch,Keto,19.2,313,49,430,Boiled,31,31,4.7,0,Lunges,4.0,17.0,Burns fat quickly,252.46,Chest,Pull-up Bar,Intermediate,Full Body,Triceps,Pull Ups
43.0,Female,48.4,1.61,190.0,127.0,69.0,1.28,732.0,Cardio,34.1,2.4,2.0,1.0,18.67,3.0,0.0,284.625,113.85,75.9,2277.0,Stop Salad,Dinner,Vegan,35.0,1945,105,421,Steamed,18,25,1.5,0,Lunges,4.0,14.0,Burns fat quickly,237.68,Chest,Pull-up Bar,Intermediate,Full Body,Triceps,Pull Ups
20.0,Male,76.4,1.62,168.0,132.0,51.0,1.35,980.0,Cardio,21.2,2.6,4.0,2.0,29.11,2.0,1.0,200.922,80.369,53.579,1607.375,Control Sandwich,Dinner,Low-Carb,33.4,1052,222,464,Roasted,23,45,4.4,0,Squats,3.0,19.0,Burns fat quickly,242.28,Chest,Pull-up Bar,Intermediate,Full Body,Triceps,Pull Ups
36.0,Male,110.2,1.77,191.0,156.0,74.0,1.19,1021.0,HIIT,26.5,3.4,2.0,1.0,35.18,3.0,0.0,306.75,122.7,81.8,2454.0,Third Salad,Snack,Keto,46.7,1976,252,164,Raw,20,63,2.8,0,Bench Press,4.0,18.0,Burns fat quickly,277.04,Chest,Pull-up Bar,Intermediate,Full Body,Triceps,Pull Ups
37.0,Female,72.9,1.76,192.0,121.0,52.0,1.21,732.0,Strength,27.5,1.9,3.0,2.0,23.53,2.0,1.0,211.449,84.58,56.386,1691.59,Start Wrap,Dinner,Low-Carb,18.9,1902,202,335,Raw,24,102,1.3,1,Bench Press,3.0,14.0,Burns fat quickly,259.58000000000004,Chest,Pull-up Bar,Intermediate,Full Body,Triceps,Pull Ups
49.0,Male,82.1,1.86,162.0,160.0,64.0,1.87,1481.0,Strength,14.2,3.5,4.0,3.0,23.73,2.0,0.0,195.038,78.015,52.01,1560.302,Sound Wrap,Snack,Low-Carb,8.2,2180,13,332,Raw,9,51,3.7,0,Push Ups,4.0,12.0,Burns fat quickly,251.42,Chest,Pull-up Bar,Intermediate,Full Body,Triceps,Pull Ups
24.0,Female,58.9,1.76,189.0,130.0,73.0,0.63,410.0,HIIT,30.1,1.7,3.0,1.0,19.01,3.0,4.0,298.122,119.249,79.499,2384.975,Suggest Salad,Dinner,Keto,5.6,903,125,399,Raw,58,95,4.0,0,Deadlift,4.0,18.0,Burns fat quickly,229.78,Chest,Pull-up Bar,Intermediate,Full Body,Triceps,Pull Ups
58.0,Male,82.2,1.87,171.0,143.0,55.0,1.57,1111.0,HIIT,10.7,3.5,4.0,3.0,23.51,3.0,0.0,253.875,101.55,67.7,2031.0,Night Wrap,Breakfast,Keto,0.3,2319,229,238,Baked,27,9,3.3,0,Deadlift,4.0,18.0,Burns fat quickly,258.44,Chest,Pull-up Bar,Intermediate,Full Body,Triceps,Pull Ups
50.0,Male,96.7,1.72,188.0,125.0,62.0,1.46,903.0,Strength,25.7,2.7,3.0,2.0,32.69,3.0,0.0,301.688,120.675,80.45,2413.502,Red Rice,Snack,Keto,0.7,428,263,253,Baked,46,17,4.4,0,Leg Press,4.0,18.0,Burns fat quickly,256.34000000000003,Chest,Pull-up Bar,Intermediate,Full Body,Triceps,Pull Ups
57.0,Male,81.4,1.86,162.0,145.0,70.0,1.8,1292.0,Cardio,12.0,3.5,5.0,3.0,23.53,3.0,0.0,228.0,91.2,60.8,1824.0,Early Pasta,Breakfast,Balanced,48.5,2189,122,307,Baked,40,108,3.9,0,Lunges,3.0,17.0,Burns fat quickly,233.28,Chest,Pull-up Bar,Intermediate,Full Body,Triceps,Pull Ups
56.0,Male,107.8,1.73,185.0,126.0,50.0,1.09,680.0,Yoga,26.6,2.8,3.0,2.0,36.02,3.0,0.0,299.438,119.775,79.85,2395.502,Give Stew,Breakfast,Keto,24.2,1440,296,423,Steamed,13,58,4.2,0,Plank,4.0,15.0,Burns fat quickly,254.56,Chest,Pull-up Bar,Intermediate,Full Body,Triceps,Pull Ups
35.0,Female,65.8,1.62,189.0,158.0,69.0,1.0,790.0,Cardio,33.8,1.5,4.0,2.0,25.07,3.0,0.0,266.812,106.725,71.15,2134.498,Continue Wrap,Breakfast,Vegan,31.2,1698,287,120,Fried,16,110,1.3,0,Plank,3.0,18.0,Burns fat quickly,251.16,Chest,Pull-up Bar,Intermediate,Full Body,Triceps,Pull Ups
57.0,Female,68.5,1.56,168.0,138.0,68.0,1.45,900.0,HIIT,29.1,1.6,4.0,2.0,28.15,3.0,0.0,213.0,85.2,56.8,1704.0,Fact Curry,Dinner,Vegetarian,34.3,1729,169,303,Fried,26,25,3.2,0,Deadlift,3.0,15.0,Burns fat quickly,240.7,Chest,Pull-up Bar,Intermediate,Full Body,Triceps,Pull Ups
18.0,Female,63.9,1.59,185.0,125.0,50.0,1.87,1169.0,Strength,16.4,2.7,4.0,3.0,25.28,2.0,0.0,215.288,86.115,57.41,1722.302,Clear Salad,Dinner,Vegetarian,44.9,2414,27,238,Fried,50,95,4.8,0,Plank,4.0,14.0,Burns fat quickly,241.78,Chest,Pull-up Bar,Intermediate,Full Body,Triceps,Pull Ups
28.0,Male,76.3,1.62,161.0,162.0,70.0,1.16,1034.0,Strength,20.1,2.3,3.0,2.0,29.07,2.0,0.0,178.35,71.34,47.56,1426.8,Exist Salad,Dinner,Low-Carb,7.6,2480,74,143,Baked,8,7,2.6,0,Push Ups,4.0,15.0,Burns fat quickly,231.26,Chest,Pull-up Bar,Intermediate,Full Body,Triceps,Pull Ups
45.0,Female,44.5,1.65,162.0,148.0,71.0,1.44,959.0,Yoga,30.7,1.6,3.0,1.0,16.35,3.0,0.0,272.438,108.975,72.65,2179.502,Thank Soup,Lunch,Vegetarian,27.4,218,188,320,Baked,54,93,2.8,0,Bench Press,4.0,16.0,Burns fat quickly,232.9,Chest,Pull-up Bar,Intermediate,Full Body,Triceps,Pull Ups
42.0,Female,50.7,1.75,163.0,162.0,51.0,1.29,940.0,Strength,29.0,1.9,3.0,2.0,16.56,3.0,0.0,235.538,94.215,62.81,1884.302,Or Curry,Breakfast,Vegan,8.8,1675,202,217,Baked,16,43,4.7,0,Burpees,4.0,15.0,Burns fat quickly,229.14,Chest,Pull-up Bar,Intermediate,Full Body,Triceps,Pull Ups
40.0,Female,55.1,1.61,184.0,158.0,64.0,1.55,1224.0,Yoga,16.9,2.7,4.0,3.0,21.26,2.0,0.0,274.125,109.65,73.1,2193.0,Heavy Salad,Lunch,Balanced,32.0,1812,44,316,Fried,52,111,2.9,0,Plank,4.0,16.0,Burns fat quickly,266.02,Chest,Pull-up Bar,Intermediate,Full Body,Triceps,Pull Ups
48.0,Male,73.7,1.61,172.0,121.0,63.0,1.36,815.0,Cardio,21.8,3.6,4.0,2.0,28.43,2.0,1.0,212.738,85.095,56.73,1701.902,Including Stew,Snack,Vegetarian,18.7,1920,121,266,Grilled,46,39,3.6,0,Squats,4.0,13.0,Burns fat quickly,230.74,Chest,Pull-up Bar,Intermediate,Full Body,Triceps,Pull Ups
47.0,Male,55.6,1.77,198.0,138.0,68.0,1.2,820.0,Cardio,24.3,2.9,4.0,2.0,17.75,3.0,0.0,242.062,96.825,64.55,1936.498,Clearly Salad,Breakfast,Vegetarian,43.4,2054,227,443,Steamed,26,85,1.9,0,Lunges,3.0,13.0,Burns fat quickly,244.12,Chest,Pull-up Bar,Intermediate,Full Body,Triceps,Pull Ups
59.0,Male,86.9,1.76,194.0,123.0,60.0,1.13,688.0,Strength,29.8,3.1,3.0,2.0,28.05,3.0,0.0,216.188,86.475,57.65,1729.502,Career Sandwich,Snack,Paleo,17.6,322,193,271,Steamed,10,46,3.2,0,Burpees,3.0,19.0,Burns fat quickly,243.38,Chest,Pull-up Bar,Intermediate,Full Body,Triceps,Pull Ups
52.0,Female,60.3,1.68,182.0,125.0,64.0,1.6,900.0,Strength,16.5,2.7,4.0,3.0,21.36,2.0,2.0,344.391,137.756,91.838,2755.13,Popular Sandwich,Snack,Vegan,48.9,2305,53,111,Fried,47,70,1.9,0,Plank,4.0,16.0,Burns fat quickly,251.06,Chest,Pull-up Bar,Intermediate,Full Body,Triceps,Pull Ups
24.0,Female,40.4,1.64,168.0,168.0,55.0,0.99,832.0,HIIT,31.0,1.9,2.0,1.0,15.02,3.0,2.0,346.812,138.725,92.483,2774.495,Forget Sandwich,Dinner,Vegetarian,19.9,2156,92,450,Boiled,45,54,2.4,0,Bench Press,4.0,18.0,Burns fat quickly,251.08,Chest,Pull-up Bar,Intermediate,Full Body,Triceps,Pull Ups
33.0,Female,78.5,1.66,161.0,156.0,69.0,1.29,1006.0,HIIT,32.8,1.9,4.0,2.0,28.49,3.0,0.0,178.35,71.34,47.56,1426.8,Identify Sandwich,Snack,Low-Carb,36.9,1842,85,483,Raw,25,52,1.2,0,Burpees,4.0,17.0,Burns fat quickly,267.7,Chest,Pull-up Bar,Intermediate,Full Body,Triceps,Pull Ups
43.0,Male,102.6,1.72,190.0,147.0,58.0,0.82,597.0,Strength,27.5,2.0,2.0,1.0,34.68,3.0,0.0,233.062,93.225,62.15,1864.498,Value Salad,Breakfast,Vegan,49.0,2267,30,326,Grilled,23,38,2.5,0,Lunges,4.0,14.0,Burns fat quickly,276.52,Chest,Pull-up Bar,Intermediate,Full Body,Triceps,Pull Ups
19.0,Male,110.8,1.91,161.0,149.0,54.0,1.31,1074.0,Strength,23.3,2.9,2.0,1.0,30.37,2.0,0.0,152.1,60.84,40.56,1216.8,Officer Sandwich,Snack,Vegetarian,46.1,374,83,162,Boiled,33,77,2.0,0,Lunges,4.0,12.0,Burns fat quickly,242.16000000000005,Chest,Pull-up Bar,Intermediate,Full Body,Triceps,Pull Ups
18.0,Female,60.9,1.79,191.0,126.0,69.0,1.11,699.0,Cardio,31.1,2.1,2.0,1.0,19.01,2.0,0.0,199.725,79.89,53.26,1597.8,Dinner Soup,Breakfast,Balanced,16.2,1231,266,369,Grilled,8,112,1.5,0,Bicep Curls,4.0,14.0,Burns fat quickly,268.18,Chest,Pull-up Bar,Intermediate,Full Body,Triceps,Pull Ups
29.0,Male,55.7,1.61,177.0,128.0,51.0,1.41,993.0,Strength,28.7,2.3,3.0,1.0,21.49,3.0,0.0,270.938,108.375,72.25,2167.502,Present Pasta,Snack,Balanced,34.0,2180,33,124,Grilled,51,106,1.1,0,Lunges,4.0,19.0,Burns fat quickly,240.14,Chest,Pull-up Bar,Intermediate,Full Body,Triceps,Pull Ups
22.0,Male,110.5,1.92,172.0,144.0,55.0,1.16,919.0,HIIT,20.2,3.3,3.0,2.0,29.98,2.0,1.0,327.852,131.141,87.427,2622.815,Box Sandwich,Snack,Keto,40.1,1292,210,127,Grilled,35,12,1.2,0,Plank,4.0,19.0,Burns fat quickly,262.1,Chest,Pull-up Bar,Intermediate,Full Body,Triceps,Pull Ups
54.0,Male,55.2,1.71,164.0,152.0,67.0,0.77,579.0,Cardio,24.4,2.8,2.0,1.0,18.88,2.0,1.0,286.645,114.658,76.439,2293.163,Choose Wrap,Lunch,Vegan,41.8,2087,284,173,Grilled,39,106,4.7,0,Plank,4.0,19.0,Burns fat quickly,239.04,Chest,Pull-up Bar,Intermediate,Full Body,Triceps,Pull Ups
49.0,Male,46.5,1.72,169.0,120.0,72.0,1.4,832.0,Yoga,22.2,2.6,4.0,2.0,15.72,2.0,0.0,283.5,113.4,75.6,2268.0,Method Stew,Dinner,Vegan,3.0,869,169,148,Roasted,9,31,4.1,1,Mountain Climbers,4.0,14.0,Burns fat quickly,265.3,Chest,Pull-up Bar,Intermediate,Full Body,Triceps,Pull Ups
26.0,Female,70.9,1.66,184.0,125.0,68.0,0.81,506.0,HIIT,28.9,1.7,3.0,1.0,25.73,4.0,0.0,289.5,115.8,77.2,2316.0,Outside Sandwich,Lunch,Vegetarian,31.0,266,269,466,Boiled,39,93,4.8,0,Deadlift,4.0,12.0,Burns fat quickly,241.18,Chest,Pull-up Bar,Intermediate,Full Body,Triceps,Pull Ups
58.0,Male,74.6,1.75,193.0,137.0,58.0,1.09,739.0,HIIT,24.2,2.9,2.0,1.0,24.36,4.0,0.0,198.038,79.215,52.81,1584.302,Worker Stew,Snack,Keto,42.5,1867,61,467,Grilled,11,76,3.0,0,Squats,3.0,16.0,Burns fat quickly,269.92,Chest,Pull-up Bar,Intermediate,Full Body,Triceps,Pull Ups
52.0,Male,45.1,1.72,196.0,129.0,70.0,0.93,594.0,Cardio,27.5,3.3,2.0,1.0,15.24,3.0,2.0,333.25,133.3,88.867,2666.003,Democratic Sandwich,Dinner,Paleo,47.9,2073,71,121,Fried,20,83,3.8,0,Mountain Climbers,4.0,15.0,Burns fat quickly,238.02,Chest,Pull-up Bar,Intermediate,Full Body,Triceps,Pull Ups
36.0,Male,99.9,1.99,189.0,147.0,73.0,1.33,1075.0,Yoga,20.9,2.5,3.0,1.0,25.23,3.0,0.0,195.975,78.39,52.26,1567.8,Support Salad,Breakfast,Keto,3.9,690,70,463,Boiled,58,63,2.2,0,Burpees,3.0,13.0,Burns fat quickly,237.98,Chest,Pull-up Bar,Intermediate,Full Body,Triceps,Pull Ups
33.0,Male,117.0,1.61,166.0,130.0,55.0,1.04,744.0,HIIT,25.1,2.4,3.0,2.0,45.14,3.0,0.0,235.35,94.14,62.76,1882.8,North Rice,Breakfast,Vegan,19.9,713,66,430,Baked,10,16,4.3,1,Deadlift,4.0,13.0,Burns fat quickly,274.4,Chest,Pull-up Bar,Intermediate,Full Body,Triceps,Pull Ups
20.0,Female,75.9,1.73,165.0,152.0,63.0,1.39,1056.0,Strength,30.6,2.1,4.0,2.0,25.36,3.0,4.0,397.516,159.006,106.004,3180.124,Him Curry,Snack,Vegan,47.0,1537,16,137,Roasted,10,8,4.6,0,Bench Press,3.0,14.0,Burns fat quickly,239.18,Chest,Pull-up Bar,Intermediate,Full Body,Triceps,Pull Ups
37.0,Female,71.2,1.64,162.0,120.0,73.0,1.11,666.0,HIIT,29.9,1.7,3.0,2.0,26.47,4.0,0.0,248.662,99.465,66.31,1989.298,Manager Curry,Breakfast,Keto,20.1,1858,7,494,Boiled,10,97,3.5,0,Bench Press,3.0,13.0,Burns fat quickly,243.24,Chest,Pull-up Bar,Intermediate,Full Body,Triceps,Pull Ups
41.0,Male,78.8,1.72,172.0,132.0,62.0,1.01,660.0,Cardio,27.3,3.1,4.0,2.0,26.64,4.0,0.0,273.562,109.425,72.95,2188.498,Public Wrap,Dinner,Low-Carb,35.8,956,200,400,Baked,29,45,4.4,0,Lunges,3.0,17.0,Burns fat quickly,267.76,Chest,Pull-up Bar,Intermediate,Full Body,Triceps,Pull Ups
50.0,Male,50.6,1.69,162.0,156.0,60.0,1.31,1012.0,Cardio,23.8,3.0,2.0,1.0,17.72,2.0,0.0,263.812,105.525,70.35,2110.498,Major Stew,Dinner,Paleo,16.3,220,138,153,Fried,28,69,1.6,0,Plank,3.0,15.0,Burns fat quickly,235.12,Chest,Pull-up Bar,Intermediate,Full Body,Triceps,Pull Ups
41.0,Male,82.5,1.79,185.0,139.0,61.0,1.69,1163.0,Cardio,14.7,3.5,4.0,3.0,25.75,3.0,0.0,233.25,93.3,62.2,1866.0,Them Rice,Breakfast,Keto,9.0,2079,64,189,Fried,45,30,2.3,0,Mountain Climbers,4.0,13.0,Burns fat quickly,266.5,Chest,Pull-up Bar,Intermediate,Full Body,Triceps,Pull Ups
28.0,Male,108.5,1.79,183.0,120.0,68.0,1.33,878.0,HIIT,24.8,2.1,4.0,2.0,33.86,2.0,1.0,222.406,88.962,59.308,1779.244,Support Stew,Breakfast,Vegetarian,19.5,611,76,167,Boiled,21,104,3.3,0,Squats,3.0,18.0,Burns fat quickly,266.7,Chest,Pull-up Bar,Intermediate,Full Body,Triceps,Pull Ups
25.0,Male,49.9,1.98,165.0,122.0,68.0,1.15,772.0,Yoga,25.7,2.1,3.0,2.0,12.73,4.0,4.0,408.203,163.281,108.854,3265.622,Ground Sandwich,Lunch,Low-Carb,41.9,2057,223,458,Fried,43,59,3.7,0,Push Ups,4.0,19.0,Burns fat quickly,243.98,Chest,Pull-up Bar,Intermediate,Full Body,Triceps,Pull Ups
53.0,Male,125.1,1.91,171.0,137.0,70.0,0.52,353.0,Strength,28.3,3.1,2.0,1.0,34.29,2.0,0.0,175.912,70.365,46.91,1407.298,Not Curry,Dinner,Vegan,49.2,2242,227,196,Raw,18,109,2.2,0,Leg Press,3.0,18.0,Burns fat quickly,273.02,Chest,Pull-up Bar,Intermediate,Full Body,Triceps,Pull Ups
55.0,Female,79.7,1.66,195.0,160.0,68.0,1.06,763.0,Cardio,27.8,1.9,2.0,1.0,28.92,4.0,2.0,300.603,120.241,80.161,2404.825,Daughter Salad,Lunch,Vegan,34.9,1577,182,430,Roasted,16,81,2.2,0,Leg Press,4.0,20.0,Burns fat quickly,232.94,Chest,Pull-up Bar,Intermediate,Full Body,Triceps,Pull Ups
57.0,Male,126.8,1.63,161.0,133.0,73.0,0.96,632.0,Yoga,20.8,2.1,2.0,1.0,47.72,3.0,1.0,296.699,118.68,79.12,2373.596,Coach Salad,Breakfast,Vegan,3.2,747,110,401,Steamed,36,38,3.5,0,Bench Press,3.0,16.0,Burns fat quickly,276.36,Chest,Pull-up Bar,Intermediate,Full Body,Triceps,Pull Ups
37.0,Female,54.6,1.57,170.0,150.0,62.0,1.31,982.0,Strength,32.1,2.4,3.0,1.0,22.15,3.0,0.0,204.6,81.84,54.56,1636.8,Tv Rice,Lunch,Vegan,0.5,323,131,220,Steamed,55,67,1.4,0,Plank,4.0,12.0,Burns fat quickly,257.92,Chest,Pull-up Bar,Intermediate,Full Body,Triceps,Pull Ups
52.0,Female,47.8,1.54,198.0,146.0,63.0,1.34,880.0,Cardio,29.8,1.9,3.0,2.0,20.16,3.0,0.0,209.812,83.925,55.95,1678.498,Nothing Sandwich,Snack,Keto,21.5,2373,44,211,Boiled,33,113,4.1,0,Leg Press,3.0,19.0,Burns fat quickly,262.56,Chest,Pull-up Bar,Intermediate,Full Body,Triceps,Pull Ups
42.0,Male,97.9,1.91,193.0,136.0,73.0,1.01,680.0,Strength,29.0,2.8,3.0,2.0,26.84,3.0,0.0,231.788,92.715,61.81,1854.302,Sell Rice,Lunch,Keto,0.0,886,40,232,Fried,26,116,3.5,0,Leg Press,3.0,12.0,Burns fat quickly,242.58,Chest,Pull-up Bar,Intermediate,Full Body,Triceps,Pull Ups
52.0,Female,63.1,1.54,185.0,165.0,67.0,1.36,1010.0,Strength,34.8,1.8,3.0,2.0,26.61,3.0,0.0,179.662,71.865,47.91,1437.298,Apply Salad,Breakfast,Low-Carb,44.4,1202,18,295,Fried,8,17,4.9,0,Push Ups,4.0,14.0,Burns fat quickly,235.62,Chest,Pull-up Bar,Intermediate,Full Body,Triceps,Pull Ups
42.0,Female,72.4,1.69,177.0,148.0,61.0,1.07,713.0,Yoga,29.0,2.3,3.0,2.0,25.35,3.0,0.0,218.625,87.45,58.3,1749.0,Determine Soup,Lunch,Vegetarian,26.9,1480,184,387,Fried,21,55,1.9,0,Squats,3.0,16.0,Burns fat quickly,268.48,Chest,Pull-up Bar,Intermediate,Full Body,Triceps,Pull Ups
46.0,Female,58.9,1.7,180.0,155.0,53.0,1.52,1060.0,Strength,17.1,2.7,4.0,3.0,20.38,2.0,0.0,209.85,83.94,55.96,1678.8,Explain Wrap,Dinner,Low-Carb,4.2,2329,215,310,Boiled,40,82,1.2,0,Squats,4.0,14.0,Burns fat quickly,229.78,Chest,Pull-up Bar,Intermediate,Full Body,Triceps,Pull Ups
35.0,Female,50.4,1.6,195.0,156.0,59.0,1.03,803.0,Cardio,29.1,1.9,4.0,2.0,19.69,2.0,0.0,180.412,72.165,48.11,1443.298,Pull Sandwich,Lunch,Keto,18.4,2171,62,441,Boiled,15,55,3.3,1,Lunges,3.0,15.0,Burns fat quickly,238.08,Chest,Pull-up Bar,Intermediate,Full Body,Triceps,Pull Ups
35.0,Female,64.2,1.59,199.0,145.0,66.0,1.63,1182.0,Yoga,16.6,2.7,5.0,3.0,25.39,3.0,0.0,278.812,111.525,74.35,2230.498,Rest Rice,Breakfast,Low-Carb,11.8,1504,159,398,Steamed,30,27,3.9,0,Deadlift,3.0,12.0,Burns fat quickly,259.84000000000003,Chest,Pull-up Bar,Intermediate,Full Body,Triceps,Pull Ups
19.0,Female,58.8,1.77,181.0,136.0,53.0,1.4,952.0,HIIT,32.8,2.7,2.0,1.0,18.77,3.0,1.0,211.234,84.494,56.329,1689.873,Parent Curry,Dinner,Vegan,11.3,620,9,235,Grilled,33,74,1.6,0,Push Ups,3.0,17.0,Burns fat quickly,232.76,Chest,Pull-up Bar,Intermediate,Full Body,Triceps,Pull Ups
52.0,Male,105.2,1.62,189.0,141.0,61.0,1.36,949.0,HIIT,27.6,3.2,3.0,1.0,40.09,3.0,0.0,268.688,107.475,71.65,2149.502,Threat Pasta,Snack,Vegetarian,44.9,1115,183,454,Steamed,18,62,2.8,0,Bicep Curls,3.0,17.0,Burns fat quickly,237.04,Chest,Pull-up Bar,Intermediate,Full Body,Triceps,Pull Ups
